sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
Azure-Samples/active-directory-dotnet-webapp-roleclaims,133.85714285714286,8.0,7.0,0.0,5.0,2.0,Azure,0.0,100.0,71.42857142857143,28.57142857142857
Azure-Samples/active-directory-dotnet-webapp-webapi-multitenant-openidconnect,511.7142857142857,4.75,7.0,0.0,4.0,3.0,Azure,0.0,100.0,57.14285714285714,42.857142857142854
Azure-Samples/active-directory-dotnet-webapp-webapi-oauth2-appidentity,1.0,1.0,2.0,0.0,1.0,1.0,Azure,0.0,100.0,50.0,50.0
Azure-Samples/active-directory-dotnet-webapp-webapi-oauth2-useridentity,0.75,0.75,4.0,0.0,4.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-webapp-webapi-openidconnect,370.625,431.5,8.0,0.0,6.0,2.0,Azure,0.0,100.0,75.0,25.0
Azure-Samples/active-directory-dotnet-webapp-webapi-openidconnect-aspnetcore,165.45454545454547,34.0,11.0,0.0,6.0,5.0,Azure,0.0,100.0,54.54545454545454,45.45454545454545
Azure-Samples/active-directory-dotnet-webapp-wsfederation,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/active-directory-dotnet-windows-store,1.75,2.3333333333333335,4.0,0.0,3.0,1.0,Azure,0.0,100.0,75.0,25.0
Azure-Samples/active-directory-dotnet-windowsphone-8.1,2.0,2.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnetcore-console-up-v2,3.0,3.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnetcore-daemon-certificate-credential,15.4,15.4,5.0,0.0,5.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnetcore-daemon-v2,6.25,6.25,12.0,0.0,12.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnetcore-devicecodeflow-v2,3.0,3.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-error-docs,774.0,,1.0,0.0,0.0,1.0,Azure,0.0,100.0,0.0,100.0
Azure-Samples/active-directory-external-identities-woodgrove-demo,10.5,10.5,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
