,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
160,Azure,algattik,42.0,0,2,0,0,0,2,2,2,0,64
161,Azure,abbhar,,0,0,0,0,0,0,0,0,0,64
162,Azure,viananth,,0,0,0,0,0,0,0,0,0,64
163,Azure,WilliamBerryiii,45.0,0,17,0,0,0,17,17,17,0,489
164,Azure,angellmethod,3.0,0,4,0,0,0,4,4,4,0,8
165,Azure,TheOnlyWei,1.0,0,4,0,0,1,5,4,5,0,52
166,Azure,mregen,25.0,0,1,0,0,4,5,1,5,0,0
167,Azure,luiscantero,14.0,0,3,0,0,0,3,3,3,0,44
168,Azure,hansgschossmann,17.0,0,6,0,0,0,6,6,6,0,234
169,Azure,simonjaeger,,0,0,0,0,0,0,0,0,0,234
170,Azure,peterbryntesson,,0,0,0,0,0,0,0,0,0,234
171,Azure,bganapa,,0,0,0,0,0,0,0,0,0,234
172,Azure,saragluna,23.0,0,2,0,0,0,2,2,2,0,203
173,Azure,paulbouwer,,0,0,0,0,0,0,0,0,0,203
174,Azure,BoyaXie,,0,0,0,0,0,0,0,0,0,203
175,Azure,cyhuang01,,0,0,0,0,0,0,0,0,0,203
176,Azure,ChrisHMSFT,,0,0,0,0,0,0,0,0,0,203
177,Azure,kbrowne8,,0,0,0,0,0,0,0,0,0,203
178,Azure,roy-har,,0,0,0,0,0,0,0,0,0,203
179,Azure,ealsur,133.0,0,1,0,0,0,1,1,1,0,0
180,Azure,JMayrbaeurl,21.0,0,1,0,0,0,1,1,1,0,0
181,Azure,brendan-src,,0,0,0,0,0,0,0,0,0,0
182,Azure,j82w,,0,0,0,0,0,0,0,0,0,0
183,Azure,kraigb,65.0,0,2,0,0,1,3,2,3,0,104
184,Azure,cmcclister,,0,0,0,0,0,0,0,0,0,104
185,Azure,markwolff,14.0,0,16,0,0,0,16,16,16,0,95
186,Azure,rtanase,,0,0,0,0,0,0,0,0,0,95
187,Azure,wviriya,8.0,0,1,0,0,1,2,1,2,0,8
188,Azure,bhummerstone,19.0,0,1,0,0,0,1,1,1,0,0
189,Azure,RenaShahMSFT,12.0,0,1,0,0,0,1,1,1,0,0
190,Azure,jeffpatt24,2.0,0,4,0,0,0,4,4,4,0,314
191,Azure,YunZhou-MS,0.0,0,2,0,0,0,2,2,2,0,45
192,Azure,surendernitj,0.0,0,1,0,0,0,1,1,1,0,0
193,Azure,rohiths-msft,,0,0,0,0,0,0,0,0,0,0
194,Azure,ledavies,,0,0,0,0,0,0,0,0,0,0
195,Azure,wmgries,15.0,0,1,0,0,0,1,1,1,0,0
196,Azure,sprasad-microsoft,,0,0,0,0,0,0,0,0,0,0
197,Azure,asw101,59.0,0,23,0,0,12,35,23,35,0,370
198,Azure,conhua,3.0,0,2,0,0,0,2,2,2,0,37
199,Azure,moreOver0,,0,0,0,0,0,0,0,0,0,37
200,Azure,mrbullwinkle,,0,0,0,0,0,0,0,0,0,37
201,Azure,BrianPeek,,0,0,0,0,0,0,0,0,0,37
202,Azure,surnaik,,0,0,0,0,0,0,0,0,0,37
203,Azure,aim-for-better,,0,0,0,0,0,0,0,0,0,37
204,Azure,maliksahil,,0,0,0,0,0,0,0,0,0,37
205,Azure,cnsegura,,0,0,0,0,0,0,0,0,0,37
206,Azure,IngridAtMicrosoft,7.0,0,3,0,0,0,3,3,3,0,223
207,Azure,giakas,0.0,0,12,0,0,0,12,12,12,0,0
208,Azure,Careyjmac,10.0,0,2,0,0,0,2,2,2,0,11
209,Azure,sebader,14.0,0,1,0,0,0,1,1,1,0,0
210,Azure,jennifermarsman,96.0,0,8,0,0,0,8,8,8,0,91
211,Azure,LuisCabrer,27.0,0,1,0,0,0,1,1,1,0,0
212,Azure,tyclintw,4.0,0,10,0,0,2,12,10,12,0,203
213,Azure,mandyshieh,,0,0,0,0,0,0,0,0,0,203
214,Azure,CarlosP-MS,15.0,0,4,0,0,0,4,4,4,0,46
215,Azure,srswamy-msft,1.0,0,1,0,0,0,1,1,1,0,0
216,Azure,JasenLassig,,0,0,0,0,0,0,0,0,0,0
217,Azure,JasonWHowell,34.0,0,1,0,0,0,1,1,1,0,0
218,Azure,penorouzi,4.0,0,25,0,0,0,25,25,25,0,253
219,Azure,initmahesh,14.0,0,129,0,0,6,135,129,135,0,357
220,Azure,misainat,0.0,0,1,0,0,0,1,1,1,0,0
221,Azure,rlfmendes,0.0,0,1,0,0,0,1,1,1,0,0
222,Azure,anjayajodha,10.0,0,16,0,0,0,16,16,16,0,126
223,Azure,rtibi,4.0,0,13,0,0,2,15,13,15,0,627
224,Azure,garvitarai,,0,0,0,0,0,0,0,0,0,627
225,Azure,sijuman,,0,0,0,0,0,0,0,0,0,627
226,Azure,cschotte,7.0,0,1,0,0,0,1,1,1,0,0
227,Azure,blackchoey,,0,0,0,0,0,0,0,0,0,0
228,Azure,Avery-Dunn,0.0,0,1,0,0,0,1,1,1,0,0
229,Azure,idg-sam,3.0,0,2,0,0,1,3,2,3,0,98
230,Azure,sangonzal,5.0,0,2,0,0,1,3,2,3,0,69
231,Azure,navyasric,,0,0,0,0,0,0,0,0,0,69
232,Azure,SomkaPe,,0,0,0,0,0,0,0,0,0,69
233,Azure,cindydeng1998,,0,0,0,0,0,0,0,0,0,69
234,Azure,dominicbetts,58.0,0,1,0,0,0,1,1,1,0,0
235,Azure,bleroy,202.0,0,22,0,0,0,22,22,22,0,669
236,Azure,vkurpad,4.0,0,1,0,0,0,1,1,1,0,0
237,Azure,liamca,,0,0,0,0,0,0,0,0,0,0
238,Azure,cjoakim,50.0,0,6,0,0,0,6,6,6,0,0
239,Azure,deborahc,,0,0,0,0,0,0,0,0,0,0
240,Azure,Rodrigossz,,0,0,0,0,0,0,0,0,0,0
241,Azure,ThomasWeiss,,0,0,0,0,0,0,0,0,0,0
242,Azure,victor-meng,,0,0,0,0,0,0,0,0,0,0
243,Azure,srinathnarayanan,,0,0,0,0,0,0,0,0,0,0
244,Azure,TheovanKraay,14.0,0,2,0,0,0,2,2,2,0,276
245,Azure,jdubois,1103.0,0,3,0,0,0,3,3,3,0,6
246,Azure,shahzaibj,,0,0,0,0,0,0,0,0,0,6
247,Azure,rpdome,2.0,0,1,0,0,0,1,1,1,0,0
248,Azure,iambmelt,,0,0,0,0,0,0,0,0,0,0
249,Azure,hamiltonha,12.0,0,1,0,0,0,1,1,1,0,0
250,Azure,ecfan,,0,0,0,0,0,0,0,0,0,0
251,Azure,scgbear,0.0,0,1,0,0,0,1,1,1,0,0
252,Azure,brandonh-msft,49.0,0,9,0,0,1,10,9,10,0,490
253,Azure,fsharpn00b,0.0,0,10,0,0,3,13,10,13,0,209
254,Azure,anatolip,,0,0,0,0,0,0,0,0,0,209
255,Azure,AdelGhabboun,1.0,0,11,0,0,0,11,11,11,0,90
256,Azure,cfialkiewicz,,0,0,0,0,0,0,0,0,0,90
257,Azure,yorek,244.0,0,12,0,0,6,18,12,18,0,510
258,Azure,dagiro,,0,0,0,0,0,0,0,0,0,510
259,Azure,amenarde,,0,0,0,0,0,0,0,0,0,510
260,Azure,manashgoswami,1.0,0,2,0,0,0,2,2,2,0,264
261,Azure,liydu,20.0,0,3,0,0,0,3,3,3,0,0
262,Azure,rayluo,28.0,0,3,0,0,0,3,3,3,0,356
263,Azure,abhidnya13,6.0,0,1,0,0,0,1,1,1,0,0
264,Azure,JerryYangKai,6.0,0,1,0,0,0,1,1,1,0,0
265,Azure,IvanJobs,,0,0,0,0,0,0,0,0,0,0
266,Azure,dadihe,,0,0,0,0,0,0,0,0,0,0
267,Azure,xscript,13.0,0,9,0,0,0,9,9,9,0,636
268,Azure,leonard520,,0,0,0,0,0,0,0,0,0,636
269,Azure,yucwan,0.0,0,1,0,0,0,1,1,1,0,0
270,Azure,JunyiYi,,0,0,0,0,0,0,0,0,0,0
271,Azure,metacpp,22.0,0,3,0,0,0,3,3,3,0,12
272,Azure,xgugeng,,0,0,0,0,0,0,0,0,0,12
273,Azure,robotdad,,0,0,0,0,0,0,0,0,0,12
274,Azure,stack111,2.0,0,2,0,0,0,2,2,2,0,66
275,Azure,vyta,11.0,0,3,0,0,0,3,3,3,0,138
276,Azure,jsturtevant,141.0,0,1,0,0,0,1,1,1,0,0
277,Azure,k-bren,0.0,0,1,0,0,0,1,1,1,0,0
278,Azure,babbageclunk,,0,0,0,0,0,0,0,0,0,0
279,Azure,matthchr,,0,0,0,0,0,0,0,0,0,0
280,Azure,frodopwns,14.0,0,1,0,0,0,1,1,1,0,0
281,Azure,melonrush13,5.0,0,1,0,0,0,1,1,1,0,0
