sample,tempo para fechamento,tempo merge,closed_count,merged_count,not_merged_count,framework
Azure-Samples/azure-sdk-for-net-storage-blob-upload-download,284.0,,2.0,0.0,2.0,Azure
Azure-Samples/azure-sdk-for-python-storage-blob-upload-download,153.33333333333334,,3.0,0.0,3.0,Azure
Azure-Samples/azure-search-dotnet-samples,117.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-search-knowledge-mining,33.5,,2.0,0.0,2.0,Azure
Azure-Samples/azure-search-power-skills,42.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-servicebus-relay-samples,121.0,,2.0,0.0,2.0,Azure
Azure-Samples/azure-voting-app-redis,85.8,,5.0,0.0,5.0,Azure
Azure-Samples/batch-python-quickstart,527.0,,1.0,0.0,1.0,Azure
Azure-Samples/bc-community-samples,153.54545454545453,,11.0,0.0,11.0,Azure
Azure-Samples/blockchain,57.2,,10.0,0.0,10.0,Azure
Azure-Samples/cognitive-services-REST-api-samples,460.0,,2.0,0.0,2.0,Azure
Azure-Samples/cognitive-services-dotnet-sdk-samples,2.0,,1.0,0.0,1.0,Azure
Azure-Samples/cognitive-services-java-sdk-samples,146.0,,2.0,0.0,2.0,Azure
Azure-Samples/cognitive-services-personalizer-samples,74.33333333333333,,3.0,0.0,3.0,Azure
Azure-Samples/cognitive-services-python-sdk-samples,30.0,,4.0,0.0,4.0,Azure
Azure-Samples/cognitive-services-quickstart-code,101.0,,8.0,0.0,8.0,Azure
Azure-Samples/cognitive-services-sample-data-files,7.0,,1.0,0.0,1.0,Azure
Azure-Samples/cognitive-services-speech-sdk,239.33333333333334,,3.0,0.0,3.0,Azure
Azure-Samples/communication-services-web-calling-hero,3.0,,1.0,0.0,1.0,Azure
Azure-Samples/communication-services-web-calling-tutorial,25.0,,3.0,0.0,3.0,Azure
Azure-Samples/communication-services-web-chat-hero,34.0,,1.0,0.0,1.0,Azure
Azure-Samples/compute-java-manage-vm,98.0,,1.0,0.0,1.0,Azure
Azure-Samples/compute-node-manage-vm,119.0,,1.0,0.0,1.0,Azure
Azure-Samples/confidential-container-samples,200.0,,1.0,0.0,1.0,Azure
Azure-Samples/cosmos-dotnet-bulk-import-throughput-optimizer,106.0,,1.0,0.0,1.0,Azure
Azure-Samples/cosmos-dotnet-change-feed-processor,8.0,,1.0,0.0,1.0,Azure
Azure-Samples/cosmos-dotnet-core-todo-app,166.0,,1.0,0.0,1.0,Azure
Azure-Samples/cosmosdb-dotnet-create-documentdb-and-configure-for-high-availability,206.0,,1.0,0.0,1.0,Azure
