sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
spring-guides/gs-batch-processing,104.6875,26.583333333333332,16.0,0.0,12.0,4.0,Spring,0.0,100.0,75.0,25.0
spring-guides/gs-caching,88.0,51.666666666666664,7.0,1.0,6.0,1.0,Spring,12.5,87.5,85.71428571428571,14.285714285714285
spring-guides/gs-caching-gemfire,29.166666666666668,0.75,6.0,2.0,4.0,2.0,Spring,25.0,75.0,66.66666666666666,33.33333333333333
spring-guides/gs-centralized-configuration,172.5,1.5,8.0,0.0,2.0,6.0,Spring,0.0,100.0,25.0,75.0
spring-guides/gs-cloud-circuit-breaker,5.0,5.0,1.0,0.0,1.0,0.0,Spring,0.0,100.0,100.0,0.0
spring-guides/gs-consuming-rest,3.65,4.055555555555555,20.0,1.0,18.0,2.0,Spring,4.761904761904762,95.23809523809523,90.0,10.0
spring-guides/gs-consuming-rest-angularjs,347.5,360.0,4.0,1.0,3.0,1.0,Spring,20.0,80.0,75.0,25.0
spring-guides/gs-consuming-rest-jquery,,,0.0,2.0,0.0,0.0,Spring,100.0,0.0,,
spring-guides/gs-consuming-web-service,36.0,3.0,9.0,0.0,7.0,2.0,Spring,0.0,100.0,77.77777777777779,22.22222222222222
spring-guides/gs-contract-rest,19.333333333333332,23.2,6.0,1.0,5.0,1.0,Spring,14.285714285714285,85.71428571428571,83.33333333333334,16.666666666666664
spring-guides/gs-convert-jar-to-war,0.5,0.6666666666666666,4.0,2.0,3.0,1.0,Spring,33.33333333333333,66.66666666666666,75.0,25.0
spring-guides/gs-crud-with-vaadin,14.96923076923077,9.051724137931034,65.0,1.0,58.0,7.0,Spring,1.5151515151515151,98.48484848484848,89.23076923076924,10.76923076923077
spring-guides/gs-gateway,169.0,0.75,6.0,1.0,4.0,2.0,Spring,14.285714285714285,85.71428571428571,66.66666666666666,33.33333333333333
spring-guides/gs-gradle,25.210526315789473,38.77777777777778,19.0,4.0,9.0,10.0,Spring,17.391304347826086,82.6086956521739,47.368421052631575,52.63157894736842
spring-guides/gs-handling-form-submission,78.66666666666667,3.8333333333333335,9.0,1.0,6.0,3.0,Spring,10.0,90.0,66.66666666666666,33.33333333333333
spring-guides/gs-integration,1.625,1.8571428571428572,8.0,3.0,7.0,1.0,Spring,27.27272727272727,72.72727272727273,87.5,12.5
spring-guides/gs-intellij-idea,0.5,0.0,2.0,2.0,1.0,1.0,Spring,50.0,50.0,50.0,50.0
spring-guides/gs-managing-transactions,113.0,0.3333333333333333,9.0,0.0,6.0,3.0,Spring,0.0,100.0,66.66666666666666,33.33333333333333
spring-guides/gs-maven,21.85185185185185,11.4,27.0,3.0,15.0,12.0,Spring,10.0,90.0,55.55555555555556,44.44444444444444
spring-guides/gs-messaging-gcp-pubsub,19.75,23.5,12.0,4.0,10.0,2.0,Spring,25.0,75.0,83.33333333333334,16.666666666666664
spring-guides/gs-messaging-jms,0.9230769230769231,0.9230769230769231,13.0,2.0,13.0,0.0,Spring,13.333333333333334,86.66666666666667,100.0,0.0
