sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
Azure-Samples/active-directory-b2c-advanced-policies,6.0,6.0,1.0,6.0,1.0,0.0,Azure,85.71428571428571,14.285714285714285,100.0,0.0
Azure-Samples/active-directory-b2c-custom-policy-starterpack,165.0,51.75,7.0,3.0,4.0,3.0,Azure,30.0,70.0,57.14285714285714,42.857142857142854
Azure-Samples/active-directory-b2c-dotnet-desktop,11.0,11.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-b2c-dotnet-uwp,0.0,0.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-b2c-dotnet-webapp-and-webapi,23.666666666666668,23.666666666666668,3.0,5.0,3.0,0.0,Azure,62.5,37.5,100.0,0.0
Azure-Samples/active-directory-b2c-graph-trustframework-policy,6.0,6.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/active-directory-b2c-javascript-angular-spa,13.571428571428571,9.384615384615385,14.0,0.0,13.0,1.0,Azure,0.0,100.0,92.85714285714286,7.142857142857142
Azure-Samples/active-directory-b2c-javascript-msal-singlepageapp,2.25,2.25,4.0,0.0,4.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-b2c-javascript-nodejs-embedded,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/active-directory-b2c-javascript-nodejs-webapi,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-b2c-php-webapp-openidconnect,255.0,,1.0,0.0,0.0,1.0,Azure,0.0,100.0,0.0,100.0
Azure-Samples/active-directory-b2c-xamarin-native,15.0,15.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-desktop-msgraph-v2,0.0,0.0,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-external-identities-api-connector-azure-function-validate,45.5,45.5,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-iwa-v2,57.0,57.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-native-aspnetcore-v2,0.0,0.0,6.0,0.0,6.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-native-uwp-v2,1.2,1.2,5.0,0.0,5.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-v1-to-v2,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-windows-store,0.0,,1.0,0.0,0.0,1.0,Azure,0.0,100.0,0.0,100.0
Azure-Samples/active-directory-dotnetcore-daemon-v2,1.3333333333333333,1.3333333333333333,6.0,0.0,6.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-ios-native-nxoauth2-v2,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/active-directory-javascript-graphapi-v2,6.0,1.5,3.0,0.0,2.0,1.0,Azure,0.0,100.0,66.66666666666666,33.33333333333333
Azure-Samples/active-directory-javascript-nodejs-webapi-v2,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-javascript-singlepageapp-angular,7.785714285714286,7.785714285714286,14.0,0.0,14.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-node-webapi,0.0,,1.0,0.0,0.0,1.0,Azure,0.0,100.0,0.0,100.0
Azure-Samples/active-directory-verifiable-credentials,27.8,27.8,5.0,0.0,5.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-verifiable-credentials-dotnet,2.0,2.0,2.0,2.0,2.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/active-directory-verifiable-credentials-java,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-verifiable-credentials-node,4.5,4.5,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-verifiable-credentials-python,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-xamarin-native-v2,44.666666666666664,44.666666666666664,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/aks-dotnet-manage-kubernetes-cluster,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/aks-samples,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/am-creator-indoor-data-examples,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/angular-cosmosdb,,,0.0,17.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/ansible-playbooks,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/app-service-dotnet-access-key-vault-by-msi-for-web-apps,160.0,160.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/app-service-dotnet-manage-logs-for-web-apps,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/app-service-java-access-key-vault-by-msi-for-web-apps,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/app-service-java-cosmosdb-mongodb-apis,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/app-service-msi-entityframework-dotnet,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/app-service-msi-keyvault-dotnet,160.0,160.0,1.0,4.0,1.0,0.0,Azure,80.0,20.0,100.0,0.0
Azure-Samples/app-service-msi-servicebus-dotnet,8.0,8.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/app-service-web-html-get-started,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/app-service-web-nodejs-manage,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/appinsights-guestbook,10.666666666666666,10.666666666666666,3.0,7.0,3.0,0.0,Azure,70.0,30.0,100.0,0.0
Azure-Samples/application-insights-react-demo,17.5,17.5,2.0,11.0,2.0,0.0,Azure,84.61538461538461,15.384615384615385,100.0,0.0
Azure-Samples/applicationinsights-java-profiler-demo,174.0,174.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/applicationinsights-mern-todo,0.0,0.0,11.0,12.0,11.0,0.0,Azure,52.17391304347826,47.82608695652174,100.0,0.0
Azure-Samples/arc-demo-multi-tenancy,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azeventgrid-local-debug-aspnet-core-ngrok,285.0,285.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-ad-conditional-access-apis,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-batch-samples,16.0,16.0,2.0,1.0,2.0,0.0,Azure,33.33333333333333,66.66666666666666,100.0,0.0
Azure-Samples/azure-cache-redis-samples,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-cli-samples,12.166666666666666,12.166666666666666,12.0,0.0,12.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-cosmos-db-cassandra-dotnet-core-getting-started,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-cosmos-db-cassandra-java-getting-started-v4,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmos-db-cassandra-python-getting-started,0.0,0.0,1.0,2.0,1.0,0.0,Azure,66.66666666666666,33.33333333333333,100.0,0.0
Azure-Samples/azure-cosmos-db-change-feed-dotnet-retail-sample,694.0,694.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-cosmos-db-graph-gremlindotnet-getting-started,38.0,16.0,3.0,0.0,2.0,1.0,Azure,0.0,100.0,66.66666666666666,33.33333333333333
Azure-Samples/azure-cosmos-db-graph-nodejs-getting-started,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmos-db-graph-npm-bom-sample,170.33333333333334,170.33333333333334,6.0,2.0,6.0,0.0,Azure,25.0,75.0,100.0,0.0
Azure-Samples/azure-cosmos-db-graph-python-getting-started,12.0,12.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/azure-cosmos-db-mongodb-dotnet-getting-started,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmos-db-mongodb-java-geo-readpreference,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmos-db-mongodb-java-getting-started,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmos-db-mongodb-mongoose-geo-readpreference,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmos-db-mongodb-node-geo-readpreference,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmos-db-mongodb-spring,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmos-db-mongodb-xamarin-getting-started,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmos-db-python-getting-started,136.0,0.0,3.0,0.0,1.0,2.0,Azure,0.0,100.0,33.33333333333333,66.66666666666666
Azure-Samples/azure-cosmos-db-sample-data,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmos-db-sql-api-async-java-getting-started,198.0,198.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-cosmos-db-sql-api-nodejs-getting-started,2.0,2.0,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-cosmos-db-sql-api-nodejs-todo-app,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmos-java-getting-started,178.66666666666666,0.0,3.0,2.0,1.0,2.0,Azure,40.0,60.0,33.33333333333333,66.66666666666666
Azure-Samples/azure-cosmos-java-sql-api-samples,2.3333333333333335,2.3333333333333335,3.0,1.0,3.0,0.0,Azure,25.0,75.0,100.0,0.0
Azure-Samples/azure-cosmos-java-sql-api-todo-app,,,0.0,3.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmos-java-sql-app-example,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmos-throughput-scheduler,157.0,157.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
