,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
327,AWS,melodyyangaws,2.0,0,2,0,0,0,2,2,2,0,152
328,AWS,aurghob33,,0,0,0,0,0,0,0,0,0,152
329,AWS,anubhavynr,0.0,0,2,0,0,2,4,2,4,0,571
330,AWS,alpian,,0,0,0,0,0,0,0,0,0,571
331,AWS,alpamayo8848,,0,0,0,0,0,0,0,0,0,571
332,AWS,stilvoid,,0,0,0,0,0,0,0,0,0,571
333,AWS,mrinaudo-aws,,0,0,0,0,0,0,0,0,0,571
334,AWS,ConnorKirk,20.0,0,2,0,0,0,2,2,2,0,64
335,AWS,JeremyJonas,5.0,0,1,0,0,0,1,1,1,0,0
336,AWS,teuteuguy,21.0,0,0,0,0,1,1,0,1,0,0
337,AWS,tstachlewski,22.0,0,1,0,0,1,2,1,2,0,98
338,AWS,ckamps,20.0,0,19,0,0,3,22,19,22,0,545
339,AWS,lalwanin2020,8.0,0,1,0,0,0,1,1,1,0,0
340,AWS,deki,36.0,0,2,0,0,0,2,2,2,0,98
341,AWS,nirozeri,1.0,0,4,0,0,1,5,4,5,0,79
342,AWS,sankeyraut,4.0,0,1,0,0,0,1,1,1,0,0
343,AWS,mrahimi991,0.0,0,4,0,0,0,4,4,4,0,378
344,AWS,studio3104,43.0,0,2,0,0,0,2,2,2,0,344
345,AWS,dave-moser,3.0,0,0,0,0,2,2,0,2,0,344
346,AWS,jimini55,2.0,0,3,0,0,0,3,3,3,0,0
347,AWS,sudhirjena,,0,0,0,0,0,0,0,0,0,0
348,AWS,pgjaiganesh,0.0,0,1,0,0,0,1,1,1,0,0
349,AWS,Eric-Warehime,2.0,0,1,0,0,0,1,1,1,0,0
350,AWS,amittal-amazon,,0,0,0,0,0,0,0,0,0,0
351,AWS,muellerc,43.0,0,1,0,0,0,1,1,1,0,0
352,AWS,ariscris,,0,0,0,0,0,0,0,0,0,0
353,AWS,melchii,,0,0,0,0,0,0,0,0,0,0
354,AWS,dblock,,0,0,0,0,0,0,0,0,0,0
355,AWS,noahschwartz,,0,0,0,0,0,0,0,0,0,0
356,AWS,stefannatu,14.0,0,9,0,0,0,9,9,9,0,84
357,AWS,shivaramani,4.0,0,6,0,0,0,6,6,6,0,351
358,AWS,kareali,,0,0,0,0,0,0,0,0,0,351
359,AWS,MiaoZhangAWS,,0,0,0,0,0,0,0,0,0,351
360,AWS,matthewpaul,,0,0,0,0,0,0,0,0,0,351
361,AWS,da-miller,5.0,0,1,0,0,0,1,1,1,0,0
362,AWS,HarshGandhi-AWS,0.0,0,1,0,0,0,1,1,1,0,0
363,AWS,tgpadua,,0,0,0,0,0,0,0,0,0,0
364,AWS,jbesw,256.0,0,182,0,0,7,189,182,189,0,629
365,AWS,julianwood,15.0,0,7,0,0,1,8,7,8,0,406
366,AWS,gabrielmartinigit,40.0,0,1,0,0,0,1,1,1,0,0
367,AWS,mzliang-annie,1.0,0,1,0,0,0,1,1,1,0,0
368,AWS,surerahu,2.0,0,2,0,0,0,2,2,2,0,170
369,AWS,itharavi,20.0,0,15,0,0,0,15,15,15,0,219
370,AWS,ludvn,,0,0,0,0,0,0,0,0,0,219
371,AWS,JauntyWard,,0,0,0,0,0,0,0,0,0,219
372,AWS,changzcc,0.0,0,3,0,0,0,3,3,3,0,249
373,AWS,shimeez,4.0,0,1,0,0,0,1,1,1,0,0
374,AWS,basinr,,0,0,0,0,0,0,0,0,0,0
375,AWS,tlindsay42,77.0,0,1,0,0,0,1,1,1,0,0
376,AWS,kolomied,13.0,0,3,0,0,0,3,3,3,0,12
377,AWS,edujanicas,,0,0,0,0,0,0,0,0,0,12
378,AWS,JgSeike,9.0,0,2,0,0,0,2,2,2,0,0
379,AWS,humank,,0,0,0,0,0,0,0,0,0,0
380,AWS,BalaRavilla,3.0,0,1,0,0,0,1,1,1,0,0
381,AWS,Till--H,5.0,0,1,0,0,0,1,1,1,0,0
382,AWS,cakepietoast,20.0,0,0,0,0,1,1,0,1,0,0
383,AWS,billsnyder,0.0,0,6,0,0,0,6,6,6,0,646
384,AWS,sujie2000,,0,0,0,0,0,0,0,0,0,646
385,AWS,csantos,,0,0,0,0,0,0,0,0,0,646
386,AWS,singledigit,205.0,0,18,0,0,1,19,18,19,0,583
387,AWS,elangovana,9.0,0,2,0,0,0,2,2,2,0,410
388,AWS,DanielYEHsieh,,0,0,0,0,0,0,0,0,0,410
389,AWS,switch180,9.0,0,22,0,0,0,22,22,22,0,600
390,AWS,ctindel,,0,0,0,0,0,0,0,0,0,600
391,AWS,danielsyoder,4.0,0,2,0,0,0,2,2,2,0,53
392,AWS,balldarrens,0.0,0,2,0,0,0,2,2,2,0,0
393,AWS,smsilb,5.0,0,2,0,0,0,2,2,2,0,265
394,AWS,alaniyonu,,0,0,0,0,0,0,0,0,0,265
395,AWS,wingamajig,0.0,0,1,0,0,0,1,1,1,0,0
396,AWS,ruslanafr,0.0,0,1,0,0,0,1,1,1,0,0
397,AWS,mkhansenbot,,0,0,0,0,0,0,0,0,0,0
398,AWS,katakuji,,0,0,0,0,0,0,0,0,0,0
399,AWS,gibbster,9.0,0,1,0,0,0,1,1,1,0,0
400,AWS,NRauschmayr,,0,0,0,0,0,0,0,0,0,0
401,AWS,srchase,,0,0,0,0,0,0,0,0,0,0
402,AWS,w601sxs,9.0,0,1,0,0,0,1,1,1,0,0
403,AWS,osteffmann,4.0,0,6,0,0,1,7,6,7,0,250
404,AWS,jeromevdl,62.0,0,1,0,0,0,1,1,1,0,0
405,AWS,brianz,38.0,0,1,0,0,0,1,1,1,0,0
406,AWS,billdoors,4.0,0,5,0,0,0,5,5,5,0,257
407,AWS,cemsaz,77.0,0,2,0,0,2,4,2,4,0,416
408,AWS,bwerness,19.0,0,2,0,0,0,2,2,2,0,123
409,AWS,shuiwan,,0,0,0,0,0,0,0,0,0,123
410,AWS,bvitali,2.0,0,1,0,0,1,2,1,2,0,6
411,AWS,samruthr,,0,0,0,0,0,0,0,0,0,6
